,amenity,name,addr:street,addr:housenumber,addr:city
874,restaurant,Antica Osteria di Via Gluck,Via Cristoforo Gluck,10,Milano
875,bar,Club 23,Via Giovanni Battista Sammartini,23,Milano
876,restaurant,Coco,Via Ponte Seveso,42,Milano
877,restaurant,Mercato del Pesce,Via Giovanni Battista Sammartini,70,Milano
878,restaurant,Mari e Sapori,Via Giovanni Battista Sammartini,21,Milano
879,restaurant,Ristorante Pizzeria Al Vesuvio,Via Giovanni Schiaparelli,3,Milano
880,restaurant,Ristorante Pizzeria La Caletta,Via Giovanni Battista Sammartini,69,Milano
883,bar,Ginger Cocktail Lab,Via Ascanio Sforza,21,Milano
884,restaurant,Usman,Via Panfilo Castaldi,27,Milano
885,restaurant,I due leccesi,Via Bonvesin de la Riva,3,Milano
897,restaurant,Asmara,Via Lazzaro Palazzi,5,Milano
901,bar,Bar Cupido,Via Giambellino,79,Milano
904,restaurant,Alice,Piazza Gae Aulenti,1,Milano
905,restaurant,Forchetta d'Oro,Via Lepontina,11,Milano
906,bar,Waiting Bar,Via Carlo Farini,52,Milano
907,restaurant,Ristorante Lepontina,Via Lepontina,8,Milano
908,restaurant,Trattoria Piccolo Fumino,Via dell'Aprica,2,Milano
912,restaurant,Mantra Vegan Raw,Via Panfilo Castaldi,21,Milano
914,restaurant,Ristorante Ai Giardini - Paprika & Cannella,Via Lodovico Settala,2,Milano
915,restaurant,Casa Lodi,Via Cappellari,3,Milano
916,restaurant,Il Priscio,Via Santa Tecla,5,Milano
917,restaurant,Dogana,Via Dogana,3,Milano
918,restaurant,Pizza Pazza,Piazza Santo Stefano,12,Milano
919,restaurant,Spontini,Via Dogana,3,Milano
920,restaurant,a'Mare,Via Santa Tecla,3,Milano
921,restaurant,Momus,Via Arco,1,Milano
929,restaurant,Ristorante via Marangoni,Via Leopoldo Marangoni,2,Milano
930,restaurant,Biancolatte,Via Filippo Turati,30,Milano
931,restaurant,Ca' Turati,Via Filippo Turati,40,Milano
932,restaurant,Desinolento,Via Filippo Turati,6,Milano
933,restaurant,Parco Sushi,Piazza Cavour,7,Milano
934,restaurant,Panino Giusto,Via Filippo Turati,40,Milano
935,restaurant,Sushi Etc,Piazza Cavour,7,Milano
937,restaurant,Farina e Pomodoro,Via Filippo Turati,7,Milano
938,restaurant,NUI City Jungle Cafè,Via Principe Amedeo,2/7,Milano
939,restaurant,Pizza Ok,Via Lambro,15,Milano
942,restaurant,Mudec Bistrot,Via Tortona,56,Milano
943,restaurant,Trattoria Toscana,Corso di Porta Ticinese,58,Milano
944,restaurant,Shizen,Piazza Francesco Durante,36,Milano
945,restaurant,Osteria al 55,Via Messina,55,Milano
946,bar,Bikers Bar,Via Cenisio,7,Milano
948,restaurant,Toukaijojou,Via Cenisio,13,Milano
949,restaurant,Wok of Milan,Via Cenisio,12,Milano
950,restaurant,Pepe Verde,Via Cenisio,7,Milano
951,restaurant,Ristorante Melaverde,Via Monviso,36,Milano
952,restaurant,Primo Gusto,Via Cenisio,19,Milano
953,restaurant,Thai Square,Via Cenisio,8,Milano
956,restaurant,Kashmir,Via Lazzaro Spallanzani,6,Milano
957,restaurant,Farina & Cucina,Via San Paolo,13,Milano
958,restaurant,Antica Pizza Fritta di Zia Esterina,Via Agnello,19,Milano
967,restaurant,Upcycle,Via Andrea Maria Ampère,59,Milano
968,restaurant,Osteria Tajoli,Via Brembo,11,Milano
971,restaurant,Lo Smeraldo,Via Ajaccio,1,Milano
972,restaurant,Sibilla,Via Mercato,14,Milano
975,restaurant,Il Verdi,Piazza Carlo Mirabello,5,Milano
977,restaurant,Calafuria,Viale Marche,65,Milano
979,restaurant,Sunrise,Via Giovanni Pierluigi da Palestrina,34,Milano
980,bar,Giglio Bar,Via Soperga,22,Milano
981,restaurant,Dinky,Viale Brianza,36,Milano
982,restaurant,Rosso Mattone,Via Soperga,22,Milano
983,restaurant,Trattoria Siciliana Da Salvatore,Viale Brianza,35,Milano
985,restaurant,Ristorante Al Mercante,Piazza dei Mercanti,17,Milano
990,restaurant,Bistrot Manzoni,Via Alessandro Manzoni,39,Milano
991,restaurant,Nobu,Via Gastone Pisoni,1,Milano
992,restaurant,La Tavernetta da Elio,Via Fatebenefratelli,30,Milano
993,restaurant,Osteria del Gambero Rosso,Viale Pasubio,6,Milano
994,restaurant,Morsi e Rimorsi,Viale Pasubio,3,Milano
995,bar,Herry's Bar,Piazza Venticinque Aprile,7,Milano
996,restaurant,Gam,Viale Pasubio,8,Milano
999,bar,Ego,Alzaia Naviglio Pavese,2,Milano
1000,restaurant,Luna Rossa,Alzaia Naviglio Pavese,2,Milano
1006,restaurant,Myoshi,Via Ascanio Sforza,47,Milano
1008,restaurant,Ramen House,Viale Monte Nero,62,Milano
1009,restaurant,Mizuki,Viale Monte Nero,50,Milano
1011,restaurant,La Bracioleria,Via Antonio Fogazzaro,9,Milano
1012,restaurant,Pizzeria Naturale,Via Edmondo De Amicis,24,Milano
1014,restaurant,La piccola Ischia,Via Giuseppe Broggi,15,Milano
1020,restaurant,Tarantella,Viale Abruzzi,35,Milano
1022,restaurant,La Tavernetta,Via Giovanni Rasori,4,Milano
1027,restaurant,El Beverin,Via Brera,29,Milano
1029,restaurant,Il Kaimano,Via Fiori Chiari,20,Milano
1034,restaurant,Rebelot,Ripa di Porta Ticinese,55,Milano
1035,restaurant,Alhambra,Via San Gregorio,17,Milano
1038,restaurant,Joia,Via Panfilo Castaldi,18,Milano
1039,restaurant,Da Regina,Via Silvio Pellico,1,Milano
1042,restaurant,Trussardi alla Scala,Piazza della Scala,5,Milano
1045,restaurant,Mimmo Four Seasons,Via Giuseppe Mercalli,22,Milano
1050,restaurant,Tsuru,Via Giuseppe Lagrange,13,Milano
1051,restaurant,Canal Giuliana,Via Emilio Gola,4,Milano
1052,restaurant,Italian Bakery,Piazza Gae Aulenti,1,Milano
1053,restaurant,Musubi,Piazza Gae Aulenti,1,Milano
1060,restaurant,Damm-atra' Milano,Via Elia Lombardini,1,Milano
1061,restaurant,La Bettola Di Piero,Via Orti,17,Milano
1062,restaurant,Trattoria del Nuovo Macello,Via Cesare Lombroso,20,Milano
1063,restaurant,Osteria dell'Acquabella,Via San Rocco,11,Milano
1064,restaurant,Trattoria da Pino,Via Cerva,14,Milano
1065,restaurant,Trattoria Masuelli,Viale Umbria,80,Milano
1066,restaurant,Trattoria Madonnina,Via Gentilino,6,Milano
1067,restaurant,Trattoria Albero Fiorito,Via Andrea Pellizzone,14,Milano
1068,restaurant,Trattoria da Abele,Via Temperanza,5,Milano
1069,restaurant,La Piola,Viale Abruzzi,23,Milano
1070,restaurant,Testina Milano,Via Abbadesse,19,Milano
1071,restaurant,Don Lisander,Via Alessandro Manzoni,12/a,Milano
1072,restaurant,Smooshi,Via Vincenzo Monti,27,Milano
1077,restaurant,Valentino Legend,Via Agnello,8,Milano
1085,restaurant,Brek,Piazzetta Umberto Giordano,1,Milano
1086,restaurant,Valentino Vintage,Corso Monforte,16,Milano
1088,restaurant,Grand'Italia,Corso Giuseppe Garibaldi,9,Milano
1089,restaurant,Le Cotolette,Corso Giuseppe Garibaldi,11,Milano
1090,restaurant,L'angolo di casa,Via Tivoli,3,Milano
1091,restaurant,The Fisherman,Corso Giuseppe Garibaldi,12,Milano
1092,restaurant,Quore Italiano,Via Delio Tessa,2,Milano
1093,restaurant,La Filetteria Italiana,Corso Giuseppe Garibaldi,17,Milano
1094,restaurant,Rovello 18,Via Tivoli,2,Milano
1095,restaurant,Magnaki Arena,Via Legnano,18,Milano
1098,restaurant,Il Caminetto,Via Felice Casati,22,Milano
1099,restaurant,Nhero,Via Felice Casati,44,Milano
1100,restaurant,Parioli,Via Felice Casati,45,Milano
1106,restaurant,Trattoria Pane al Pane Vino al Vino,Via Alessandro Tadino,48,Milano
1110,restaurant,Ai Bastioni,Bastioni di Porta Volta,18/A,Milano
1115,restaurant,Pizzeria Nazionale,Via Palermo,11,Milano
1119,restaurant,Orti di Leonardo,Via Aristide De Togni,6/8,Milano
1120,restaurant,Locatelli,Via Manfredo Camperio,15,Milano
1125,restaurant,Al Dente,Via dei Bossi,7,Milano
1126,restaurant,Piazzetta Bossi,Via dei Bossi,2,Milano
1127,restaurant,Trulli Love,Via dei Bossi,2/A,Milano
1128,restaurant,Acero Rosso,Piazza Virgilio,3,Milano
1129,restaurant,Natural Break,Via Giovanni Boccaccio,15,Milano
1130,restaurant,Ghe Sem,Via Vincenzo Monti,26,Milano
1131,restaurant,Ristorante Borromeo 5,Piazza Borromeo,5,Milano
1132,restaurant,La tana del ghiottone,Via Rosolino Pilo,6,Milano
1133,restaurant,Vintage Bakery,Via Genova Thaon Di Revel,20,Milano
1137,bar,Il Sidro,Via Federico Ozanam,15,Milano
1146,restaurant,Dawali,Via Corrado II Il Salico,10,Milano
1148,restaurant,Viva,Via Cesare Correnti,20,Milano
1152,bar,KOKO,Viale Regina Margherita,20,Milano
1160,restaurant,L'Anima del Gusto,Via dei Fontanili,2,Milano
1161,bar,n'ombra de vin,Via San Marco,2,Milano
1165,restaurant,La Taverna della Trisa,Via Francesco Ferrucci,1,Milano
1166,restaurant,A Pizzella,Via Francesco Ferrucci,1,Milano
1168,restaurant,Ristorante Il Pesciolino,Via Giovanni da Procida,27,Milano
1169,restaurant,Ristorante Mes Amis,Via Giovanni da Procida,27,Milano
1173,restaurant,Tra di Noi,Via Piero della Francesca,2,Milano
1174,restaurant,Il Saronnino,Via Saronno,3,Milano
1176,restaurant,B2 Burger & Beer,Via Monviso,13,Milano
1177,restaurant,C'era una volta una piada,Viale Coni Zugna,37,Milano
1178,bar,Niro Meet Bar,Giardino Aristide Calderini,3,Milano
1179,restaurant,Ristorante Argentino San Telmo,Via Matteo Bandello,22,Milano
1180,bar,SABA,Via Tortona,36,Milano
1181,restaurant,L'Ostel,Via Cesare Battisti,23,Milano
1182,restaurant,Ba-Ba Reeba,Via Filippo Corridoni,1,Milano
1183,restaurant,Miyabi,Corso Monforte,26,Milano
1184,bar,Caffecioccolata,Piazza Giovanni Antonio Bazzi,2,Milano
1186,restaurant,Pizzeria Biagio,Via Vincenzo Monti,28,Milano
1187,restaurant,Viveca,Via Vincenzo Monti,32,Milano
1188,restaurant,Mamma Oliva,Via Vincenzo Monti,33,Milano
1189,restaurant,Seoul,Corso Cristoforo Colombo,4,Milano
1190,restaurant,Santeria,Via Ettore Paladini,8,Milano
1192,restaurant,Premiato Forno Cantoni,Via Piero della Francesca,38,Milano
1193,restaurant,Osteria Le Pietre Cavate,Via Lodovico Castelvetro,14,Milano
1195,restaurant,Kyo,Via Cenisio,37,Milano
1197,restaurant,El Tipico,Corso Lodi,105,Milano
1204,restaurant,Trattoria la vecchia guardia,Via della Commenda,21,Milano
1206,bar,Torrefazione Sant Teresita,Via Gamboloita,1,Milano
1207,restaurant,Andry,Via Rovello,10,Milano
1212,restaurant,Jade Garden,Via Palazzo Reale,5,Milano
1214,restaurant,Ristorante Santa Virginia,Via San Marco,5,Milano
1215,restaurant,Pacifico,Via della Moscova,29,Milano
1216,restaurant,Latteria San Marco,Via San Marco,24,Milano
1217,restaurant,El Tombon de San Marc,Via San Marco,20,Milano
1218,restaurant,Satokina,Via Montebello,14,Milano
1219,restaurant,Mot Bistrot,Via della Moscova,25,Milano
1220,restaurant,Volemose Bene,Via della Moscova,25,Milano
1221,restaurant,El Tabachée,Via della Moscova,29,Milano
1222,restaurant,Yazawa,Via San Fermo,1,Milano
1223,restaurant,Amami,Via Amerigo Vespucci,1,Milano
1231,restaurant,Bistro,Corso Magenta,9,Milano
1232,restaurant,Parco Sushi,Corso Magenta,14,Milano
1233,restaurant,"Tutto bene, grazie",Corso Magenta,30,Milano
1242,restaurant,Spoon,Viale Bligny,39,Milano
1243,restaurant,Brera Milano,Viale Bligny,45,Milano
1244,restaurant,Gino Sorbillo,Largo Corsia dei Servi,11,Milano
1245,bar,Barcollando,Via Francesco Novati,6,Milano
1249,restaurant,Mookuzai,Via Arona,18,Milano
1252,restaurant,Cocciuto,Via Bergognone da Fossano,24,Milano
1254,bar,Marulli Cafè,Via Montevideo,10,Milano
1255,restaurant,Focacce Italiane,Via Tortona,19,Milano
1258,restaurant,Bel Paese,Via Soperga,32,Milano
1259,restaurant,Trattoria allo Scalino,Viale Brianza,36,Milano
1260,restaurant,Cibò,Via Achille Maiocchi,26,Milano
1264,restaurant,Ristorante della Nonna,Via Vigevano,8,Milano
1265,restaurant,Kazan,Corso di Porta Ticinese,70,Milano
1266,restaurant,La Crota - Trattoria con pizza,Via Gian Giacomo Mora,9,Milano
1271,restaurant,Basara Milano,Corso Italia,6,Milano
1272,restaurant,Sarla,Via Stampa,4,Milano
1273,restaurant,Bistrot Santa Maria Valle,Via Santa Maria Valle,4,Milano
1274,restaurant,Pizzeria Grill,Via Torino,50,Milano
1275,restaurant,Rossini,Via dei Piatti,4,Milano
1276,bar,Nottingham Forest,Viale Piave,1,Milano
1277,restaurant,Pasta d'Autore,Via Cesare Correnti,7,Milano
1279,restaurant,Bellavista,Via Broletto,18,Milano
1280,restaurant,Signorvino,Via Dante,13 N07,Milano
1281,restaurant,Beladi,Via Adele Martignoni,1,Milano
1282,restaurant,Kaori,Viale Nazario Sauro,11,Milano
1283,restaurant,Parbleu,Via Torquato Taramelli,59,Milano
1284,restaurant,Cervìn,Via Zecca Vecchia,4,Milano
1285,restaurant,Ristorante De Bini,Via Santa Marta,3,Milano
1286,restaurant,La Fettunta,Via Santa Marta,19,Milano
1287,restaurant,Ristorante Hostaria Borromei,Via Borromei,4,Milano
1288,restaurant,Da Zero,Via Bernardino Luini,9,Milano
1289,restaurant,Ristorante La Brisa,Via Brisa,15,Milano
1290,restaurant,Miscusi,Via Pompeo Litta,6,Milano
1291,restaurant,Ristorante Ivana,Viale Zara,61,Milano
1292,restaurant,Kiku,Viale Corsica,48,Milano
1294,restaurant,KOSHITSU,Via Lazzaro Palazzi,24,Milano
1299,restaurant,Pier 52,Via Piero della Francesca,52,Milano
1301,restaurant,Napoli è ...,Via Losanna,11,Milano
1303,restaurant,Osteria del Borgo Antico,Via Piero della Francesca,35,Milano
1304,restaurant,Ichimi,Via Piero della Francesca,40,Milano
1309,restaurant,Cantico dei Sapori,Via Friuli,78,Milano
1310,restaurant,Ristorante Pizzeria Bottarelli,Via Giovanni Omboni,4,Milano
1312,restaurant,La Risacca 2,Viale Regina Giovanna,14,Milano
1313,restaurant,Bruschetteria Grill & BBQ,Via Lazzaro Spallanzani,40,Milano
1315,restaurant,Boeucc,Piazza Belgioioso,2,Milano
1323,cinema,Cinema Palestrina,Via Giovanni Pierluigi da Palestrina,7,Milano
1325,restaurant,Convivium,Via Ponte Vetero,21,Milano
1331,bar,Cinc Food & Drinks,Via Marco Formentini,5,Milano
1332,restaurant,I Caminetti del Sempione,Via Giulio Cesare Procaccini,60,Milano
1333,restaurant,Biif,Via Giulio Cesare Procaccini,68,Milano
1334,restaurant,Sciuscià,Via Giulio Cesare Procaccini,73,Milano
1335,restaurant,Kitchen Society,Via Gerolamo Chizzolini,1,Milano
1338,restaurant,Garage Pizza & Co.,Corso Sempione,42,Milano
1344,restaurant,Cucca,Via Meravigli,16,Milano
1345,restaurant,Laguna Blu,Via Savona,108,Milano
1347,restaurant,Matilde Milano Restaurant,Via Lecco,4,Milano
1349,restaurant,Wang Jiao,Via Paolo Lomazzo,16,Milano
1352,restaurant,Lo's,Via Mercato,14,Milano
1353,restaurant,United Tastes of Hamerica's,Via Manfredo Camperio,17,Milano
1355,restaurant,Osteria Sancio Pancia,Via Rovereto,5,Milano
1357,restaurant,La Felicità,Via Rovello,3 N01,Milano
1358,restaurant,Da Puccini,Via San Giovanni sul Muro,5,Milano
1360,bar,Jumbo Cafè,Via Giambellino,9,Milano
1365,cinema,Cineteatro San Carlo,Via Morozzo della Rocca,12,Milano
1367,restaurant,Ristorante Africa,Via Lazzaro Palazzi,9,Milano
1371,restaurant,Pizzeria da Giuliano,Via Paolo Sarpi,60,Milano
1375,restaurant,Trattoria da Bruna e Sandro,Via Trieste,17,Milano
1376,restaurant,Il Mappamondo,Via Sardegna,26,Milano
1377,restaurant,Posta,Via Carroccio,3,Milano
1378,restaurant,La Cantina di Manuela,Via Giulio Cesare Procaccini,41,Milano
1382,restaurant,Tandem Bistrot,Via Bassano Porrone,4,Milano
1383,restaurant,Rosebymary,Via San Prospero,4,Milano
1387,bar,Monkey Cocktail Bar,Via Napo Torriani,5,Milano
1397,restaurant,Osteria Al 29,Corso Magenta,29,Milano
1398,restaurant,La Tartina,Via San Carpoforo,4,Milano
1400,restaurant,Aki Me Kedo,Via Nicola d'Apulia,4,Milano
1401,restaurant,Chifa Peru,Via Nicola d'Apulia,14,Milano
1402,restaurant,Blue Nami,Via Nicola d'Apulia,2,Milano
1404,restaurant,Zimei,Via Giulio e Corrado Venini,86,Milano
1405,restaurant,Rendez Vous,Via Popoli Uniti,18,Milano
1406,restaurant,Osteria della Stazione,Via Popoli Uniti,26,Milano
1407,bar,Panino Geb,Via Beato Angelico,25,Milano
1410,restaurant,Slow Sud,Via delle Asole,4 N03,Milano
1411,restaurant,Shamo,Viale Papiniano,16,Milano
1412,restaurant,Ristorante Le Capannelle,Viale Papiniano,23,Milano
1414,restaurant,Casa Ramen Super,Via Ugo Bassi,26,Milano
1416,restaurant,Casa Gourmet,Via Mike Bongiorno,13,Milano
1419,restaurant,Burn,Via Vigevano,34,Milano
1421,restaurant,Da Teresa e Patrizia,Via Vigevano,14,Milano
1422,restaurant,Joe Cipolla,Via Vigevano,33,Milano
1425,restaurant,Pizzeria Starita,Via Giovanni Gherardini,1,Milano
1447,restaurant,Borgonuovo 26,Via Borgonuovo,26,Milano
1448,restaurant,Bioesserì,Via Fiori Oscuri,9,Milano
1461,restaurant,Il Mosto Selvatico,Via Cesare da Sesto,13,Milano
1462,restaurant,Pulia,Via Silvio Pellico,4,Milano
1463,restaurant,Taverna Moriggi,Via Morigi,8,Milano
1464,restaurant,Organic,Via Morigi,8,Milano
1473,bar,REcicli Bikes & Café,Corso Luigi Manusardi,3,Milano
1476,restaurant,Mi - Cucina di Confine,Viale Cassiodoro,5,Milano
1484,restaurant,Nikkei,Via Giovanni Prati,5,Milano
1485,restaurant,Feel,Viale Severino Boezio,10,Milano
1487,restaurant,Shanti,Via Olona,19,Milano
1488,restaurant,Doriani,Via Solferino,12,Milano
1489,restaurant,Trieste Pizza,Corso Como,9,Milano
1490,restaurant,Stendhal,Via Ancona,1,Milano
1491,restaurant,Fruteiro,Via San Marco,3,Milano
1496,restaurant,Giannino,Via Vittor Pisani,6,Milano
1500,restaurant,Ristorante Pizzeria del Drago,Via Agnello,17,Milano
1502,restaurant,Ju Xin Lou,Via Giulio e Corrado Venini,55,Milano
1504,restaurant,Lo Scoglio,Viale Monza,51,Milano
1510,restaurant,Oishii,Viale Bligny,29,Milano
1516,restaurant,Maui,Via San Vittore al Teatro,3,Milano
1517,restaurant,Ristorante Pizzeria Moonlight,Via Leone Tolstoi,48,Milano
1518,restaurant,Fabregas,Via del Torchio,8,Milano
1519,restaurant,Sensei,Via Cesare Correnti,16,Milano
1522,restaurant,Cook Window,Via Amatore Sciesa,18,Milano
1527,restaurant,Picanha's,Piazzale Lorenzo Lotto,14,Milano
1532,restaurant,Mitsui,Via San Gregorio,11,Milano
1570,bar,LeccoMilano,Via Lecco,5,Milano
1572,bar,BackDoor43,Ripa di Porta Ticinese,43,Milano
1574,restaurant,Wang Jiao Milan,Via Felice Casati,7;9,Milano
1576,restaurant,La Maniera di Carlo,Via Giovanni Rasori,12,Milano
1579,restaurant,Momento,Via Filippo Argelati,12,Milano
1585,bar,La Forgia degli Eroi,Via Andrea Maria Ampère,15,Milano
1586,restaurant,Trattoria Sole,Via Carlo Valvassori Peroni,41,Milano
1588,restaurant,Rebetiko,Via Luigi Cagnola,6,Milano
1589,restaurant,Tara,Via Domenico Cirillo,16,Milano
1592,restaurant,Pisco,Via Agostino Bertani,16,Milano
1615,restaurant,Insubria,Piazza Insubria,5,Milano
1619,restaurant,Fusho,Via Plinio,5,Milano
1620,restaurant,Rosticceria Palazzi,Via Plinio,9,Milano
1624,restaurant,Tang Gourmet,Via Paolo Sarpi,17,Milano
1629,restaurant,Rookies,Viale Gorizia,30,Milano
1630,bar,Salumeria dello Sport,Piazza Napoli,30/2,Milano
1633,restaurant,Amici della Pizza,Via Ugo Bassi,8,Milano
1634,restaurant,40 Pizza e Cucina,Via Panfilo Castaldi,40,Milano
1635,restaurant,Taverna Visconti,Via Marziale,11,Milano
1642,restaurant,Isola dei Sapori,Via Augusto Anfossi,10,Milano
1646,bar,The Botanical Club,Via Pastrengo,11,Milano
1650,restaurant,Fusho,Via Paolo Sarpi,50,Milano
1655,bar,Posto Unico,Via Pastrengo,16,Milano
1658,restaurant,Trattoria da Tomaso,Via Gaetano De Castillia,20,Milano
1659,bar,Cafè Gorille,Via Gaetano De Castillia,20,Milano
1661,restaurant,Shion,Corso Magenta,65,Milano
1662,restaurant,Zakuro,Via Vincenzo Monti,16,Milano
1665,restaurant,Mao Hunan,Via Nicola Antonio Porpora,5,Milano
1667,bar,Beershow,Via Pietro Borsieri,30,Milano
1673,restaurant,Just India,Via Benedetto Marcello,34,Milano
1687,restaurant,Hall of Fame,Piazza Piemonte,8,Milano
1691,restaurant,Kasai,Viale Tibaldi,40,Milano
1699,restaurant,Ceylon Choice,Via dei Transiti,26,Milano
1700,restaurant,Al Gargano,Via dei Transiti,26,Milano
1701,restaurant,Boscogrosso,Via Giacomo Watt,14,Milano
1707,restaurant,RED Bistrot Libreria,Corso Giuseppe Garibaldi,3,Milano
1719,restaurant,Subito Dai,Via Lecco,3,Milano
1720,bar,Bar Torrefezione,Via Daniele Ricciarelli,8,Milano
1721,restaurant,Homu,Via Carlo Dolci,8,Milano
1722,restaurant,Ristorante  La Versilia,Via Tiziano,5,Milano
1725,restaurant,In Veranda,Via Statuto,18,Milano
1728,restaurant,Bomaki Sanzio,Via Raffaello Sanzio,24,Milano
1729,restaurant,Yu Zhou,Via Carlo Ravizza,9,Milano
1730,restaurant,Antica Pizzeria Leone,Via Carlo Ravizza,9,Milano
1731,restaurant,Lievità,Via Carlo Ravizza,11,Milano
1732,restaurant,Novecento,Via Carlo Ravizza,13,Milano
1733,restaurant,Bottega Lucia,Via Carlo Ravizza,4,Milano
1734,restaurant,Ristorante da Gaspare,Via Carlo Ravizza,19,Milano
1742,bar,NoLoSo,Via Luigi Varanini,5,Milano
1743,bar,PoP,Via Alessandro Tadino,5,Milano
1745,restaurant,Sapore della Grecia,Piazza Emilia,9,Milano
1746,restaurant,Ristorante Shorai,Via Enrico Dandolo,2,Milano
1748,restaurant,Basement,Via Giorgio Giulini,6,Milano
1751,restaurant,Ristorante Yuebinlou,Via Paolo Sarpi,42,Milano
1753,restaurant,Biofficina,Via Luca Signorelli,13,Milano
1754,restaurant,Fiume d'argento,Corso Genova,7,Milano
1755,bar,Todos a Cuba,Via Edmondo De Amicis,4,Milano
1766,restaurant,Wok in Box,Via Felice Casati,7,Milano
1767,restaurant,Alice,Via Lazzaro Spallanzani,18,Milano
1780,bar,Milano Cafè,Via Giulio Cesare Procaccini,37,Milano
1787,restaurant,Le Presine Volanti,Via Bezzecca,1,Milano
1789,restaurant,EN,Corso Ventidue Marzo,30,Milano
1790,restaurant,Les Gitanes Bistrot,Via Vincenzo Forcella,2,Milano
1791,restaurant,Ristorante Pizzeria Aurora,Via Curtatone,21,Milano
1793,bar,Madamadorè Street Food Bar,Galleria Giuseppe Borella,3,Milano
1794,restaurant,Ci,Corso Ventidue Marzo,40,Milano
1799,restaurant,Savana,Via Luigi Canonica,45,Milano
1800,restaurant,Trattoria Da Lucia,Via Luisa Battistotti Sassi,14,Milano
1802,restaurant,Amunì,Via Andrea Solari,7,Milano
1803,restaurant,Casa del Ramen,Via Andrea Solari,23,Milano
1804,restaurant,Chidori,Via Andrea Solari,23,Milano
1805,restaurant,Ciaccia coi ciccioli,Via Andrea Solari,23,Milano
1806,restaurant,La Gravina,Via Giovanni Cadolini,19,Milano
1807,bar,Dream Bar,Via Andrea Solari,3,Milano
1808,bar,Filly,Via Andrea Solari,4,Milano
1809,bar,Coolmorning,Viale Coni Zugna,39,Milano
1810,bar,Key Bar,Via Montevideo,10,Milano
1814,restaurant,Asian Flavor,Via Andrea Solari,7,Milano
1815,restaurant,Solopizza Cafè,Via Andrea Solari,6,Milano
1816,bar,Big Store de Milàn,Via Conca del Naviglio,10,Milano
1823,restaurant,Assaje,Via Raffaello Sanzio,14,Milano
1829,restaurant,Al Basilico,Viale Abruzzi,21,Milano
1830,restaurant,Pizzeria Olona,Via Olona,17,Milano
1831,restaurant,Al bacio,Via Vincenzo Monti,15,Milano
1832,restaurant,Un’altra Pasta,Via Bergamini,5,Milano
1838,restaurant,Bebel,Via San Vittore,3,Milano
1839,restaurant,KiKi,Via Gustavo Fara,12,Milano
1850,restaurant,L'essenza di Mina,Via Cervignano,1,Milano
1852,restaurant,Senju,Viale Abruzzi,19,Milano
1859,restaurant,le specialita,Via Pietro Calvi,29,Milano
1862,restaurant,Ichiro,Via San Vittore,6,Milano
1866,bar,Marco's,Via San Vittore,6,Milano
1869,restaurant,Sevilla mia,Viale Coni Zugna,50,Milano
1870,bar,Sweet Cafè,Viale Coni Zugna,43,Milano
1871,restaurant,Nico,Via Terraggio,20,Milano
1872,restaurant,Sush Art,Via San Marco,26,Milano
1874,restaurant,Panini Di Mare Fishlab,Via Garigliano,8,Milano
1875,restaurant,Rakki sushi 2,Via Vodice,5,Milano
1876,restaurant,Capperi... Che Pizza!,Piazza Santa Maria del Suffragio,3,Milano
1877,restaurant,Capuano's,Via Francesco Londonio,22,Milano
1878,restaurant,Così fa Antonio Esposito,Via Solferino,27,Milano
1879,restaurant,Daniele,Via Galeazzo Alessi,1,Milano
1880,restaurant,Lievità Pizzeria gourmet,Via Pasquale Sottocorno,17,Milano
1891,restaurant,Officine Analfabeta,Via Cardinale Mezzofanti,6,Milano
1893,restaurant,Glauco,Via Achille Maiocchi,29,Milano
1913,restaurant,Mi Dimsum,Via Carlo Farini,1,Milano
1918,restaurant,Ramen a Mano,Via Paolo Lomazzo,20,Milano
1920,restaurant,Route 66,Viale Romagna,23,Milano
1921,restaurant,Terra Mia,Via Sebenico,24,Milano
1922,restaurant,Sulle Nuvole,Via Garigliano,12,Milano
1927,restaurant,Sushi II,Via Macedonio Melloni,18,Milano
1928,restaurant,Dompé Milano,Via Fabio Filzi,8,Milano
1935,restaurant,Poke House,Via Gaetano De Castillia,24,Milano
1936,bar,Rita & Cocktails,Via Angelo Fumagalli,1,Milano
1937,restaurant,Café Desaix,Via Felice Casati,15,Milano
1938,restaurant,Ramen shop,Via Alessandro Tadino,10,Milano
1956,restaurant,California Bakery,Viale Beatrice d'Este,49,Milano
1958,restaurant,Bistro Aimo e Nadia,Via Matteo Bandello,15,Milano
1968,restaurant,IT,Via Fiori Chiari,32,Milano
1971,restaurant,I-Romano,Via Lomellina,34,Milano
1972,restaurant,Galli Pizza & More,Corso Magenta,78,Milano
2008,restaurant,Dal Baggini,Via Giovanni Raiberti,11,Milano
2009,restaurant,Takumi Ramen Kitchen,Via Luigi Canonica,63,Milano
2011,restaurant,District47,Via Marghera,47,Milano
2013,restaurant,Spontini,Via Marghera,3,Milano
2028,restaurant,L'Ov Milano,Via Andrea Solari,34,Milano
2033,restaurant,Indo Ceylon,Via Resegone,1,Milano
2035,restaurant,Pepe & Sale,Via Monte Rosa,20,Milano
2036,bar,Metro Bar Amendola,Piazza Giovanni Amendola,4,Milano
