,Unnamed: 0,codice_regione_ISTAT,codice_nuts_1,descrizione_nuts_1,codice_nuts_2,denominazione_regione,sigla_regione,latitudine_regione,longitudine_regione,range_eta,totale_genere_maschile,totale_genere_femminile,totale_generale
49,55,08,ITH,Nord-Est,ITH5,Emilia-Romagna,EMR,44.49436681,11.3417208,50-59,347628,356469,704097
50,56,08,ITH,Nord-Est,ITH5,Emilia-Romagna,EMR,44.49436681,11.3417208,60-69,257808,284403,542211
51,57,08,ITH,Nord-Est,ITH5,Emilia-Romagna,EMR,44.49436681,11.3417208,70-79,210315,246814,457129
52,58,08,ITH,Nord-Est,ITH5,Emilia-Romagna,EMR,44.49436681,11.3417208,80-89,120582,177084,297666
53,59,08,ITH,Nord-Est,ITH5,Emilia-Romagna,EMR,44.49436681,11.3417208,90+,19985,51702,71687
54,61,06,ITH,Nord-Est,ITH4,Friuli Venezia Giulia,FVG,45.6494354,13.76813649,0-19,100783,95002,195785
55,62,06,ITH,Nord-Est,ITH4,Friuli Venezia Giulia,FVG,45.6494354,13.76813649,20-29,57197,52154,109351
56,63,06,ITH,Nord-Est,ITH4,Friuli Venezia Giulia,FVG,45.6494354,13.76813649,30-39,64103,61526,125629
57,64,06,ITH,Nord-Est,ITH4,Friuli Venezia Giulia,FVG,45.6494354,13.76813649,40-49,89845,88832,178677
58,65,06,ITH,Nord-Est,ITH4,Friuli Venezia Giulia,FVG,45.6494354,13.76813649,50-59,97642,98441,196083
59,66,06,ITH,Nord-Est,ITH4,Friuli Venezia Giulia,FVG,45.6494354,13.76813649,60-69,74689,81100,155789
60,67,06,ITH,Nord-Est,ITH4,Friuli Venezia Giulia,FVG,45.6494354,13.76813649,70-79,65048,76361,141409
61,68,06,ITH,Nord-Est,ITH4,Friuli Venezia Giulia,FVG,45.6494354,13.76813649,80-89,32497,50810,83307
62,69,06,ITH,Nord-Est,ITH4,Friuli Venezia Giulia,FVG,45.6494354,13.76813649,90+,4915,15271,20186
63,71,12,ITI,Centro,ITI4,Lazio,LAZ,41.89277044,12.48366722,0-19,525180,494492,1019672
64,72,12,ITI,Centro,ITI4,Lazio,LAZ,41.89277044,12.48366722,20-29,293505,270956,564461
65,73,12,ITI,Centro,ITI4,Lazio,LAZ,41.89277044,12.48366722,30-39,341952,340756,682708
66,74,12,ITI,Centro,ITI4,Lazio,LAZ,41.89277044,12.48366722,40-49,442726,463602,906328
67,75,12,ITI,Centro,ITI4,Lazio,LAZ,41.89277044,12.48366722,50-59,449399,483431,932830
68,76,12,ITI,Centro,ITI4,Lazio,LAZ,41.89277044,12.48366722,60-69,328257,368832,697089
69,77,12,ITI,Centro,ITI4,Lazio,LAZ,41.89277044,12.48366722,70-79,247895,304112,552007
70,78,12,ITI,Centro,ITI4,Lazio,LAZ,41.89277044,12.48366722,80-89,130682,200696,331378
71,79,12,ITI,Centro,ITI4,Lazio,LAZ,41.89277044,12.48366722,90+,19585,49642,69227
72,81,07,ITC,Nord-Ovest,ITC3,Liguria,LIG,44.41149315,8.9326992,0-19,118992,112076,231068
73,82,07,ITC,Nord-Ovest,ITC3,Liguria,LIG,44.41149315,8.9326992,20-29,71252,65071,136323
74,83,07,ITC,Nord-Ovest,ITC3,Liguria,LIG,44.41149315,8.9326992,30-39,75013,72589,147602
75,84,07,ITC,Nord-Ovest,ITC3,Liguria,LIG,44.41149315,8.9326992,40-49,104676,107694,212370
76,85,07,ITC,Nord-Ovest,ITC3,Liguria,LIG,44.41149315,8.9326992,50-59,123371,129314,252685
77,86,07,ITC,Nord-Ovest,ITC3,Liguria,LIG,44.41149315,8.9326992,60-69,96826,105949,202775
78,87,07,ITC,Nord-Ovest,ITC3,Liguria,LIG,44.41149315,8.9326992,70-79,83499,102535,186034
79,88,07,ITC,Nord-Ovest,ITC3,Liguria,LIG,44.41149315,8.9326992,80-89,48722,77088,125810
80,89,07,ITC,Nord-Ovest,ITC3,Liguria,LIG,44.41149315,8.9326992,90+,8020,22139,30159
81,91,03,ITC,Nord-Ovest,ITC4,Lombardia,LOM,45.46679409,9.190347404,0-19,936990,880105,1817095
82,92,03,ITC,Nord-Ovest,ITC4,Lombardia,LOM,45.46679409,9.190347404,20-29,511074,475085,986159
83,93,03,ITC,Nord-Ovest,ITC4,Lombardia,LOM,45.46679409,9.190347404,30-39,589044,575155,1164199
84,94,03,ITC,Nord-Ovest,ITC4,Lombardia,LOM,45.46679409,9.190347404,40-49,782976,762097,1545073
85,95,03,ITC,Nord-Ovest,ITC4,Lombardia,LOM,45.46679409,9.190347404,50-59,795710,796399,1592109
86,96,03,ITC,Nord-Ovest,ITC4,Lombardia,LOM,45.46679409,9.190347404,60-69,572117,617001,1189118
87,97,03,ITC,Nord-Ovest,ITC4,Lombardia,LOM,45.46679409,9.190347404,70-79,455093,541116,996209
88,98,03,ITC,Nord-Ovest,ITC4,Lombardia,LOM,45.46679409,9.190347404,80-89,237587,371890,609477
89,99,03,ITC,Nord-Ovest,ITC4,Lombardia,LOM,45.46679409,9.190347404,90+,31784,96379,128163
90,101,11,ITI,Centro,ITI3,Marche,MAR,43.61675973,13.5188753,0-19,132385,124045,256430
91,102,11,ITI,Centro,ITI3,Marche,MAR,43.61675973,13.5188753,20-29,76504,70235,146739
92,103,11,ITI,Centro,ITI3,Marche,MAR,43.61675973,13.5188753,30-39,83529,82858,166387
93,104,11,ITI,Centro,ITI3,Marche,MAR,43.61675973,13.5188753,40-49,111709,112741,224450
94,105,11,ITI,Centro,ITI3,Marche,MAR,43.61675973,13.5188753,50-59,116259,119935,236194
95,106,11,ITI,Centro,ITI3,Marche,MAR,43.61675973,13.5188753,60-69,92568,100598,193166
96,107,11,ITI,Centro,ITI3,Marche,MAR,43.61675973,13.5188753,70-79,72080,83861,155941
97,108,11,ITI,Centro,ITI3,Marche,MAR,43.61675973,13.5188753,80-89,43425,64400,107825
98,109,11,ITI,Centro,ITI3,Marche,MAR,43.61675973,13.5188753,90+,7232,18308,25540
99,111,14,ITF,Sud,ITF2,Molise,MOL,41.55774754,14.65916051,0-19,24386,22633,47019
100,112,14,ITF,Sud,ITF2,Molise,MOL,41.55774754,14.65916051,20-29,17029,15093,32122
101,113,14,ITF,Sud,ITF2,Molise,MOL,41.55774754,14.65916051,30-39,17988,16673,34661
