_id,address,city,civic_number,department,name
61b4dd99be981d4eab799b5f,Via Rugabella,Milano,4,Lombardy,ATS
61b4dd99be981d4eab799b60,Via Francesco Gallicciolli,Bergamo,4,Lombardy,ATS
